Month,Barangay,seasonal_share,overall_share,recent_share
1,PINGET,0.03024565504830641,0.02733545989821189,0.028429838288993217
1,PINSAO PILOT PROJECT,0.021438953488372093,0.02054996271933708,0.018518518518518517
1,PINSAO PROPER,0.04308972983573274,0.023791594339510405,0.025655005300620932
1,POLIWES,0.0078125,0.020987859860269818,0.010752688172043012
1,QUEZON HILL PROPER,0.021147629310344827,0.016023916092710016,0.010752688172043012
1,"QUIRINO HILL, EAST",0.024262272111798475,0.01786910411246421,0.01408450704225352
1,"QUIRINO HILL, LOWER",0.015749007936507936,0.010558985770057558,0.0
1,"QUIRINO-MAGSAYSAY, UPPER",0.0078125,0.007272411862977765,0.010752688172043012
1,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",0.06666666666666667,0.013363076673440883,0.01408450704225352
1,"ROCK QUARRY, MIDDLE",0.015749007936507936,0.01129511777559753,0.018518518518518517
1,"ROCK QUARRY, UPPER",0.021147629310344827,0.01051003456099933,0.04225352112676056
1,SAINT JOSEPH VILLAGE,0.009720203488372093,0.015041961280941383,0.01778568664075252
1,SALUD MITRA,0.013626453488372093,0.011555745119006058,0.027044945900011778
