Date,Year,Month,Barangay,Barangay_cases
2021-07-01,2021,7,SAINT JOSEPH VILLAGE,1
2021-07-01,2021,7,SALUD MITRA,1
2021-07-01,2021,7,SAN ANTONIO VILLAGE,1
2021-07-01,2021,7,SANTA ESCOLASTICA,1
2021-07-01,2021,7,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),1
2021-07-01,2021,7,SOUTH DRIVE,1
2021-08-01,2021,8,CAMP 7,17
2021-08-01,2021,8,LOAKAN PROPER,12
2021-08-01,2021,8,ASIN ROAD,8
2021-08-01,2021,8,IRISAN,8
2021-08-01,2021,8,SAN LUIS VILLAGE,8
2021-08-01,2021,8,KIAS,6
2021-08-01,2021,8,CITY CAMP PROPER,5
2021-08-01,2021,8,SAN VICENTE,5
2021-08-01,2021,8,ATOK TRAIL,4
2021-08-01,2021,8,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),4
2021-08-01,2021,8,BAKAKENG NORTH,4
2021-08-01,2021,8,BROOKSIDE,4
2021-08-01,2021,8,FAIRVIEW VILLAGE,4
2021-08-01,2021,8,HAPPY HOLLOW,4
2021-08-01,2021,8,LOPEZ JAENA,4
2021-08-01,2021,8,PINSAO PROPER,4
2021-08-01,2021,8,POLIWES,4
2021-08-01,2021,8,BAKAKENG CENTRAL,3
2021-08-01,2021,8,CAMDAS SUBDIVISION,3
2021-08-01,2021,8,GIBRALTAR,3
2021-08-01,2021,8,GUISAD CENTRAL,3
2021-08-01,2021,8,HILLSIDE,3
2021-08-01,2021,8,LEGARDA-BURNHAM-KISAD,3
2021-08-01,2021,8,"MAGSAYSAY, LOWER",3
2021-08-01,2021,8,PADRE ZAMORA,3
2021-08-01,2021,8,PINGET,3
2021-08-01,2021,8,PINSAO PILOT PROJECT,3
2021-08-01,2021,8,SAINT JOSEPH VILLAGE,3
2021-08-01,2021,8,SANTO TOMAS PROPER,3
2021-08-01,2021,8,BALSIGAN,2
2021-08-01,2021,8,BGH COMPOUND,2
2021-08-01,2021,8,CAMP 8,2
2021-08-01,2021,8,CAMPO FILIPINO,2
2021-08-01,2021,8,CITY CAMP CENTRAL,2
2021-08-01,2021,8,DONTOGAN,2
2021-08-01,2021,8,GABRIELA SILANG,2
2021-08-01,2021,8,GUISAD SORONG,2
2021-08-01,2021,8,HONEYMOON (HONEYMOON-HOLY GHOST),2
2021-08-01,2021,8,LIWANAG-LOAKAN,2
2021-08-01,2021,8,NEW LUCBAN,2
2021-08-01,2021,8,PACDAL,2
2021-08-01,2021,8,PUCSUSAN,2
2021-08-01,2021,8,"QUIRINO HILL, LOWER",2
2021-08-01,2021,8,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",2
2021-08-01,2021,8,"ROCK QUARRY, LOWER",2
2021-08-01,2021,8,SAN ANTONIO VILLAGE,2
2021-08-01,2021,8,SCOUT BARRIO,2
2021-08-01,2021,8,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),1
